Corpus,Dataset,Language,Relation Type,Data Type,Extraction Method,N Concepts,N Features,F1 Score,Std
Wiki,mcrae-single,es,component-attributes,without,window,198,6,0.7828282828282829,0.018897259529161305
Wiki,mcrae-single,es,material-attributes,with,window,118,3,0.7538461538461539,0.03427339770215975
Wiki,mcrae-single,es,material-attributes,without,window,118,3,0.7455128205128205,0.023330750303162676
Wiki,mcrae-single,es,size-and-shape-attributes,with,window,420,4,0.7642857142857142,0.021028002062685323
Wiki,mcrae-single,es,size-and-shape-attributes,without,window,420,4,0.7523809523809524,0.02048172682629194
Wiki,mcrae-single,es,tactile-attributes,with,window,198,6,0.7121212121212123,0.04460485286024165
Wiki,mcrae-single,es,tactile-attributes,without,window,198,6,0.7222222222222223,0.031133404055398894
WeeWiki,mcrae-single,es,colour-attributes,with,sentence,254,6,0.8304855275443511,0.04121112595736642
WeeWiki,mcrae-single,es,colour-attributes,without,sentence,254,6,0.814799253034547,0.03053442571867386
WeeWiki,mcrae-single,es,component-attributes,with,sentence,198,6,0.7676767676767676,0.04999744917480634
WeeWiki,mcrae-single,es,component-attributes,without,sentence,198,6,0.7828282828282829,0.0557846516019559
WeeWiki,mcrae-single,es,material-attributes,with,sentence,118,3,0.7542735042735043,0.05242668438626195
WeeWiki,mcrae-single,es,material-attributes,without,sentence,118,3,0.7965811965811967,0.041941347509009505
WeeWiki,mcrae-single,es,size-and-shape-attributes,with,sentence,416,4,0.7908455844020436,0.04443890746453528
WeeWiki,mcrae-single,es,size-and-shape-attributes,without,sentence,416,4,0.7859972891252216,0.018713792364952724
WeeWiki,mcrae-single,es,tactile-attributes,with,sentence,196,6,0.7756798756798758,0.024339603599319717
WeeWiki,mcrae-single,es,tactile-attributes,without,sentence,196,6,0.7192696192696193,0.02998719718151548
WeeWiki,mcrae-single,es,colour-attributes,with,syntactic,256,6,0.7891928864569083,0.024086191766419473
WeeWiki,mcrae-single,es,colour-attributes,without,syntactic,256,6,0.8202462380300958,0.0153670094079894
WeeWiki,mcrae-single,es,component-attributes,with,syntactic,198,6,0.7626262626262627,0.0397677165354132
WeeWiki,mcrae-single,es,component-attributes,without,syntactic,198,6,0.7373737373737373,0.0397677165354132
WeeWiki,mcrae-single,es,material-attributes,with,syntactic,118,3,0.7380341880341881,0.0631235785113086
WeeWiki,mcrae-single,es,material-attributes,without,syntactic,118,3,0.7382478632478633,0.08276984593267761
WeeWiki,mcrae-single,es,size-and-shape-attributes,with,syntactic,418,4,0.820606372045221,0.02535171476083926
WeeWiki,mcrae-single,es,size-and-shape-attributes,without,syntactic,418,4,0.834926344638575,0.01763103394953967
WeeWiki,mcrae-single,es,tactile-attributes,with,syntactic,196,6,0.7804972804972805,0.01593325303372947
WeeWiki,mcrae-single,es,tactile-attributes,without,syntactic,196,6,0.800854700854701,0.02617673988224539
WeeWiki,mcrae-single,es,colour-attributes,with,window,254,6,0.8264239028944912,0.06319215707355022
WeeWiki,mcrae-single,es,colour-attributes,without,window,254,6,0.7990196078431372,0.045076721304206445
WeeWiki,mcrae-single,es,component-attributes,with,window,198,6,0.8181818181818182,0.012371160317086792
WeeWiki,mcrae-single,es,component-attributes,without,window,198,6,0.8383838383838386,0.014284985478516152
