Corpus,Dataset,Language,Relation Type,Data Type,Extraction Method,N Concepts,N Features,F1 Score,Std
UMBC,mcrae-single,en,colour-attributes,with,window,138,6,0.3405797101449275,0.044669666688181
UMBC,mcrae-single,en,colour-attributes,without,window,138,6,0.34057971014492755,0.07173547055515699
UMBC,mcrae-single,en,component-attributes,with,window,110,6,0.8083083083083084,0.06186396749156267
UMBC,mcrae-single,en,component-attributes,without,window,110,6,0.799049049049049,0.0747850587833522
UMBC,mcrae-single,en,material-attributes,with,window,144,4,0.673611111111111,0.09672491859155638
UMBC,mcrae-single,en,material-attributes,without,window,144,4,0.6527777777777778,0.07670389595268931
UMBC,mcrae-single,en,size-and-shape-attributes,with,window,234,4,0.5512820512820512,0.01813094310734736
UMBC,mcrae-single,en,size-and-shape-attributes,without,window,234,4,0.5811965811965812,0.015989988832367262
UMBC,mcrae-single,en,tactile-attributes,with,window,117,7,0.6410256410256411,0.09593993299420366
UMBC,mcrae-single,en,tactile-attributes,without,window,117,7,0.5982905982905983,0.04834918161959298
UMBC,norms-single,en,color-attributes,with,sentence,133,5,0.3991582491582492,0.11955256553421413
UMBC,norms-single,en,color-attributes,without,sentence,133,5,0.38417508417508417,0.16302851590802273
UMBC,norms-single,en,component-attributes,with,sentence,35,2,0.8863636363636364,0.03762541521654376
UMBC,norms-single,en,component-attributes,without,sentence,35,2,0.8863636363636364,0.03762541521654376
UMBC,norms-single,en,material-attributes,with,sentence,93,5,0.8817204301075269,0.04023287512660149
UMBC,norms-single,en,material-attributes,without,sentence,93,5,0.8709677419354839,0.05267719876953072
UMBC,norms-single,en,size-and-shape-attributes,with,sentence,242,4,0.5948559670781893,0.03328121719694732
UMBC,norms-single,en,size-and-shape-attributes,without,sentence,242,4,0.5660493827160494,0.012417486641658104
UMBC,norms-single,en,tactile-attributes,with,sentence,106,6,0.6891534391534391,0.05865264917246341
UMBC,norms-single,en,tactile-attributes,without,sentence,106,6,0.7171957671957673,0.03851364874152795
UMBC,norms-single,en,color-attributes,with,syntactic,133,5,0.3845117845117845,0.13571383608080348
UMBC,norms-single,en,color-attributes,without,syntactic,133,5,0.3993265993265993,0.1359960961139614
UMBC,norms-single,en,component-attributes,with,syntactic,35,2,0.8863636363636364,0.03762541521654376
